liability_id,customer_id,loan_amount,lender_name
1,1103,108000.0,Synchrony Financial
2,8636,59000.0,TD Bank
3,1432,81000.0,Citibank
4,9095,2000.0,TD Bank
5,2119,73000.0,TD Bank
6,9245,155000.0,KeyBank
7,4516,101000.0,SunTrust
8,1197,542000.0,Union Bank
9,9810,9000.0,Huntington Bank
10,6340,46000.0,KeyBank
11,273,43000.0,Capital One
12,3049,22000.0,Capital One
13,8804,184000.0,Synchrony Financial
14,2469,56000.0,Huntington Bank
15,2531,124000.0,Santander
16,7435,145000.0,Barclays
17,2569,157000.0,Citibank
18,8424,9000.0,Santander
19,2753,475000.0,Santander
20,5416,35000.0,KeyBank
21,3395,104000.0,Discover
22,5229,200000.0,M&T Bank
23,3663,415000.0,Huntington Bank
24,4703,242000.0,Regions Bank
25,3575,339000.0,KeyBank
26,4877,166000.0,Zions Bank
27,3636,178000.0,Navy Federal Credit Union
28,6881,151000.0,BMO Harris
29,5992,127000.0,State Farm Bank
30,4655,231000.0,Union Bank
31,8761,392000.0,Chase Bank
32,4868,219000.0,Wells Fargo
33,3765,307000.0,Union Bank
34,5534,177000.0,Goldman Sachs
35,870,210000.0,Citibank
36,8962,69000.0,PNC Bank
37,5860,7000.0,KeyBank
38,9718,281000.0,American Express
39,3317,227000.0,Comerica Bank
40,9418,73000.0,Barclays
41,6590,131000.0,Citibank
42,8681,637000.0,Citizens Bank
43,7180,28000.0,SunTrust
44,6071,174000.0,Huntington Bank
45,9341,47000.0,Barclays
46,4448,104000.0,Zions Bank
47,4536,52000.0,USAA
48,8214,144000.0,Citizens Bank
49,5169,34000.0,SunTrust
50,853,407000.0,TD Bank
51,2711,17000.0,Zions Bank
52,8506,49000.0,Comerica Bank
53,5133,1000.0,Charles Schwab Bank
54,1173,29000.0,Bank of America
55,4475,51000.0,Discover
56,6388,1054000.0,HSBC
57,4392,1264000.0,Citibank
58,9827,7000.0,M&T Bank
59,3538,413000.0,Union Bank
60,9621,381000.0,USAA
61,5775,148000.0,Bank of America
62,4741,130000.0,US Bank
63,1699,86000.0,HSBC
64,8286,48000.0,SunTrust
65,3662,133000.0,Union Bank
66,1442,449000.0,Santander
67,5156,10000.0,Comerica Bank
68,2514,294000.0,Zions Bank
69,5577,315000.0,TD Bank
