product_id,product_category,product_name,product_description,term_months,interest_rate,min_amount,max_amount
1,credit_card,Preferred Cash Back Card,"Special introductory 15% APR for first 18 months, then 14.99% variable APR",0,14.99,624,10608
2,credit_card,Platinum Student Card,Earn 3% cash back on groceries and 1% on all other purchases,0,24.99,1362,36548
3,credit_card,Optimal Student Card,Earn 5% cash back on groceries and 1% on all other purchases,0,27.99,1173,15635
4,credit_card,Value Secured Card,Premium travel benefits including airport lounge access and no foreign transaction fees,0,16.99,901,9010
5,credit_card,Standard Student Card,Balance transfer offer: 1% intro APR for 20 months,0,16.99,1540,43278
6,credit_card,Select Student Card,Balance transfer offer: 3% intro APR for 19 months,0,29.99,1562,28040
7,credit_card,Classic Student Card,"Get 4X points on travel and dining, plus travel insurance benefits",0,12.99,1113,23471
8,credit_card,Smart Platinum Card,Earn 3% cash back on everyday purchases with no annual fee,0,27.99,1914,40232
9,credit_card,Prime Rewards Card,Build credit with responsible use and get free credit score updates,0,16.99,1169,31926
10,credit_card,Prime Student Card,Build credit with responsible use and get free credit score updates,0,27.99,1755,31590
11,credit_card,Premier Cash Back Card,Premium travel benefits including airport lounge access and no foreign transaction fees,0,29.99,1280,27521
12,credit_card,Elite Cash Back Card,Earn 2% cash back on groceries and 1% on all other purchases,0,27.99,1913,36347
13,credit_card,Gold Rewards Card,"Get 2X points on travel and dining, plus travel insurance benefits",0,27.99,1839,25725
14,credit_card,Premier Cash Back Card,"Get 1X points on travel and dining, plus travel insurance benefits",0,21.99,984,33082
15,credit_card,Flex Rewards Card,Balance transfer offer: 4% intro APR for 20 months,0,14.99,1506,16566
16,credit_card,Advanced Travel Card,Premium travel benefits including airport lounge access and no foreign transaction fees,0,16.99,1026,29933
17,credit_card,Prime Rewards Card,"Special introductory 12% APR for first 16 months, then 27.99% variable APR",0,27.99,1368,21173
18,credit_card,Classic Business Card,Build credit with responsible use and get free credit score updates,0,16.99,1050,18731
19,credit_card,Freedom Cash Back Card,Build credit with responsible use and get free credit score updates,0,12.99,625,22437
20,credit_card,Exclusive Secured Card,"Get 1X points on travel and dining, plus travel insurance benefits",0,12.99,1806,26114
21,checking_account,Ultimate Student Checking,Student checking with no fees for 5 years and free overdraft protection,0,0.09,98,5703624
22,checking_account,Preferred Interest Checking,Mobile-first checking with advanced budgeting tools and real-time alerts,0,0.14,0,6214340
23,checking_account,Premium Basic Checking,Mobile-first checking with advanced budgeting tools and real-time alerts,0,0.12,93,4776077
24,checking_account,Deluxe Basic Checking,Senior checking with enhanced interest rates and free paper statements,0,0.16,94,1153218
25,checking_account,Exclusive Business Checking,Mobile-first checking with advanced budgeting tools and real-time alerts,0,0.17,28,1386324
26,checking_account,Classic Checking,Premium banking services with dedicated support and 4 ATM fee reimbursements monthly,0,0.19,10,3092406
27,checking_account,Basic Student Checking,Earn 0.11% APY on balances up to $50k,0,0.16,83,3740044
28,checking_account,Standard Basic Checking,Student checking with no fees for 5 years and free overdraft protection,0,0.16,35,1165479
29,checking_account,Premium Student Checking,Earn 0.16% APY on balances up to $15k,0,0.11,23,8364526
30,checking_account,Deluxe Interest Checking,Student checking with no fees for 5 years and free overdraft protection,0,0.12,67,1710615
31,savings_account,Prime Savings,Certificate term for 28 months with 2.5% APY,0,2.71,203,8227688
32,savings_account,Exclusive Money Market,Certificate term for 11 months with 1.62% APY,0,1.67,221,8064807
33,savings_account,Premium Goal Savings,Emergency fund savings with quick access and competitive rates,0,3.25,929,2729141
34,savings_account,Deluxe Money Market,Goal-based savings with custom timelines and automatic transfers,0,2.41,317,5786824
35,savings_account,Advanced Kids Savings,Tax-advantaged retirement savings with investment options,0,2.63,585,4388982
36,savings_account,Silver IRA,Emergency fund savings with quick access and competitive rates,0,1.49,813,1148668
37,savings_account,Premier Goal Savings,No fees and automatic savings with round-up features from checking,0,2.26,464,4678901
