customer_id,product_id,interaction_type,engagement_score,time_spent_seconds,date_time,device_type,features_used,conversion_status
4485,66,Click,33.52,4,2024-02-19 23:14:24,Samsung Galaxy,Loan Calculator,False
6675,50,Click,32.26,17,2025-04-24 04:44:53,iPhone,"Application Status, Documents, Payment Schedule",False
8701,30,View,50.83,2,2023-04-16 07:57:44,Samsung Galaxy,"Transaction History, Money Transfer",False
4490,85,View,44.64,43,2023-10-14 00:54:41,iPhone,Trade,False
5850,23,View,41.69,78,2023-08-30 07:23:23,Windows PC,"Check Deposit, Transaction History",False
5993,92,Click,22.78,42,2023-08-24 17:36:19,iPhone,"Premium Calculator, Coverage Details, Claims",False
8352,38,View,10.58,12,2024-03-16 02:58:59,iPad,"Tax Documents, Statements",False
3121,26,View,7.26,51,2024-07-04 21:33:23,Samsung Galaxy,Alerts,False
2026,76,Click,32.13,12,2025-02-16 04:28:05,Google Pixel,"Documents, Rate Comparison",False
286,76,Calculate,46.93,65,2024-12-07 20:33:24,Windows PC,"Rate Comparison, Amortization Schedule, Documents",True
3188,21,View,25.55,4,2024-10-11 23:31:07,iPhone,Transaction History,True
9822,75,Apply,80.91,147,2023-04-27 09:29:37,iPhone,"Documents, Mortgage Calculator",False
4541,50,View,42.5,10,2023-09-10 09:14:06,iPad,"Payment Schedule, Loan Calculator, Documents",True
464,17,View,32.45,32,2023-01-17 04:09:06,Windows PC,Rewards Calculator,True
3499,59,View,8.06,20,2024-04-13 11:58:57,iPhone,Rate Comparison,False
1841,69,Share,44.86,68,2024-11-01 09:25:51,Android Tablet,Documents,False
9872,35,View,39.24,9,2023-06-04 01:37:20,iPhone,Goal Setting,False
7074,2,Click,21.15,18,2023-12-04 18:43:51,MacBook,"Rewards Calculator, Payment Schedule",True
225,95,Download,59.5,62,2024-05-27 09:11:35,Windows PC,"Coverage Details, Premium Calculator, Policy Documents",True
308,83,View,41.37,52,2024-05-30 15:37:27,iPhone,"Portfolio Performance, Research, Tax Documents",False
7525,66,Calculate,45.76,128,2023-11-27 11:35:18,Samsung Galaxy,Vehicle Valuation,True
8169,21,View,49.18,12,2023-08-30 07:24:07,iPad,"Alerts, Transaction History, Bill Pay",False
1595,56,View,27.71,33,2023-03-09 11:23:30,Samsung Galaxy,"Rate Comparison, Payment Schedule",False
3755,74,View,20.01,18,2023-08-08 00:24:21,Windows PC,"Application Status, Amortization Schedule",False
8401,54,Click,27.88,31,2023-08-03 05:42:43,iPhone,"Application Status, Documents, Loan Calculator",True
9093,90,Compare,70.27,312,2024-02-11 14:14:32,Windows PC,Asset Allocation,False
6005,80,Click,35.27,11,2024-01-30 18:14:11,iPhone,"Amortization Schedule, Mortgage Calculator",False
6412,80,Click,50.16,16,2025-02-08 16:01:31,Samsung Galaxy,Documents,False
3590,22,View,50.18,110,2023-05-26 19:35:40,Windows PC,"Alerts, Money Transfer",True
3294,66,View,48.45,24,2024-12-25 22:56:40,Samsung Galaxy,"Loan Calculator, Payment Schedule, Vehicle Valuation",True
4348,30,View,7.78,130,2023-02-13 11:14:57,iPad,Transaction History,False
