transaction_id,customer_id,transaction_datetime,amount,transaction_type,merchant_name,category,fraud_flag
1,6015,2023-01-01 00:10:08,30.19,Purchase,Walgreens,Home,no_fraud
2,5048,2023-01-01 01:37:32,28.86,Purchase,Furniture Store,Shopping,no_fraud
3,7428,2023-01-01 01:54:06,68.03,Purchase,Kroger,Dining,no_fraud
4,6500,2023-01-01 01:55:57,72.87,Purchase,CVS,Entertainment,no_fraud
5,2144,2023-01-01 03:01:06,13.53,Purchase,Pet Store,Transportation,no_fraud
6,6424,2023-01-01 03:29:05,14.38,Purchase,Apple,Shopping,no_fraud
7,7003,2023-01-01 03:55:42,20.49,Purchase,Kroger,Education,no_fraud
8,5788,2023-01-01 04:12:54,9.52,Purchase,T-Mobile,Entertainment,no_fraud
9,2656,2023-01-01 05:01:12,1510.08,Deposit,N/A,Deposit,no_fraud
10,8273,2023-01-01 05:20:06,33.79,Deposit,N/A,Deposit,no_fraud
11,9807,2023-01-01 05:35:57,3000.0,Withdrawal,N/A,Withdrawal,no_fraud
12,1206,2023-01-01 05:38:26,30.42,Purchase,Starbucks,Utilities,no_fraud
13,9116,2023-01-01 05:40:25,14.56,Purchase,Coffee Shop,Dining,no_fraud
14,9186,2023-01-01 06:12:44,20.7,Purchase,Pharmacy,Groceries,no_fraud
15,8899,2023-01-01 06:50:23,13.62,Purchase,HBO Max,Education,no_fraud
16,7023,2023-01-01 07:08:04,21.26,Purchase,State Farm,Education,no_fraud
17,4446,2023-01-01 07:12:05,36.07,Purchase,Department Store,Entertainment,no_fraud
18,2029,2023-01-01 08:54:02,33.84,Purchase,Target,Home,no_fraud
19,2328,2023-01-01 09:23:05,10.69,Purchase,Trader Joe's,Groceries,no_fraud
20,9934,2023-01-01 09:30:36,19.91,Purchase,DoorDash,Home,no_fraud
21,9233,2023-01-01 09:44:31,11.27,Purchase,Disney+,Utilities,no_fraud
22,6702,2023-01-01 10:14:08,10.54,Purchase,Netflix,Utilities,no_fraud
23,5695,2023-01-01 10:57:19,24.09,Purchase,DoorDash,Entertainment,no_fraud
24,869,2023-01-01 11:02:50,14.08,Purchase,Dental Office,Home,no_fraud
25,3460,2023-01-01 11:28:03,48.46,Purchase,Walmart,Shopping,no_fraud
26,1508,2023-01-01 13:29:24,16.57,Purchase,State Farm,Transportation,no_fraud
27,8102,2023-01-01 14:39:31,13.3,Purchase,Dunkin',Entertainment,no_fraud
28,8652,2023-01-01 15:29:22,18.02,Purchase,Dunkin',Healthcare,no_fraud
29,1277,2023-01-01 15:44:52,3468.85,Deposit,N/A,Deposit,no_fraud
30,3031,2023-01-01 16:15:08,23.44,Purchase,Microsoft,Home,no_fraud
31,3700,2023-01-01 16:23:05,28.12,Purchase,Chevron,Healthcare,no_fraud
32,2725,2023-01-01 16:41:07,15.14,Purchase,T-Mobile,Groceries,no_fraud
33,1687,2023-01-01 16:54:50,39.3,Purchase,Dunkin',Shopping,no_fraud
34,5965,2023-01-01 16:59:09,20.73,Purchase,Hilton Hotels,Groceries,no_fraud
35,5193,2023-01-01 17:10:10,15.23,Purchase,Amazon Prime,Groceries,no_fraud
36,7205,2023-01-01 17:38:12,120.0,Withdrawal,N/A,Withdrawal,no_fraud
37,9290,2023-01-01 17:39:34,27.2,Purchase,AT&T,Healthcare,no_fraud
